Experiment,Iteration,Time
1,1,0.072
1,2,0.07
1,3,0.072
1,4,0.071
1,5,0.07
1,6,0.073
1,7,0.07
1,8,0.073
1,9,0.075
1,10,0.071
1,11,0.069
1,12,0.073
1,13,0.072
1,14,0.081
1,15,0.083
1,16,0.078
1,17,0.076
1,18,0.087
1,19,0.077
1,20,0.072
1,21,0.074
1,22,0.089
1,23,0.102
1,24,0.087
1,25,0.079
1,26,0.081
1,27,0.132
1,28,0.091
1,29,0.12
1,30,0.116
1,31,0.113
1,32,0.106
1,33,0.11
1,34,0.118
1,35,0.09
1,36,0.106
1,37,0.078
1,38,0.074
1,39,0.075
1,40,0.079
1,41,0.085
1,42,0.1
1,43,0.094
1,44,0.074
1,45,0.091
1,46,0.077
1,47,0.081
1,48,0.093
1,49,0.079
1,50,0.074
2,1,0.076
2,2,0.074
2,3,0.075
2,4,0.078
2,5,0.072
2,6,0.08
2,7,0.078
2,8,0.076
2,9,0.071
2,10,0.074
2,11,0.081
2,12,0.076
2,13,0.075
2,14,0.076
2,15,0.083
2,16,0.082
2,17,0.078
2,18,0.077
2,19,0.072
2,20,0.074
2,21,0.101
2,22,0.08
2,23,0.072
2,24,0.072
2,25,0.071
2,26,0.07
2,27,0.077
2,28,0.077
2,29,0.078
2,30,0.076
2,31,0.072
2,32,0.071
2,33,0.073
2,34,0.073
2,35,0.076
2,36,0.075
2,37,0.075
2,38,0.071
2,39,0.07
2,40,0.07
2,41,0.072
2,42,0.07
2,43,0.07
2,44,0.071
2,45,0.072
2,46,0.074
2,47,0.116
2,48,0.08
2,49,0.116
2,50,0.087
3,1,0.077
3,2,0.08
3,3,0.079
3,4,0.074
3,5,0.075
3,6,0.072
3,7,0.073
3,8,0.073
3,9,0.077
3,10,0.077
3,11,0.093
3,12,0.079
3,13,0.075
3,14,0.077
3,15,0.079
3,16,0.082
3,17,0.08
3,18,0.072
3,19,0.076
3,20,0.072
3,21,0.079
3,22,0.105
3,23,0.075
3,24,0.075
3,25,0.079
3,26,0.08
3,27,0.075
3,28,0.077
3,29,0.078
3,30,0.079
3,31,0.073
3,32,0.094
3,33,0.078
3,34,0.073
3,35,0.071
3,36,0.074
3,37,0.077
3,38,0.073
3,39,0.072
3,40,0.077
3,41,0.075
3,42,0.078
3,43,0.075
3,44,0.079
3,45,0.095
3,46,0.084
3,47,0.08
3,48,0.08
3,49,0.08
3,50,0.085
4,1,0.073
4,2,0.074
4,3,0.075
4,4,0.075
4,5,0.08
4,6,0.077
4,7,0.083
4,8,0.075
4,9,0.076
4,10,0.074
4,11,0.075
4,12,0.08
4,13,0.085
4,14,0.091
4,15,0.099
4,16,0.095
4,17,0.089
4,18,0.1
4,19,0.084
4,20,0.077
4,21,0.085
4,22,0.118
4,23,0.163
4,24,0.137
4,25,0.113
4,26,0.12
4,27,0.117
4,28,0.113
4,29,0.102
4,30,0.093
4,31,0.083
4,32,0.078
4,33,0.073
4,34,0.076
4,35,0.07
4,36,0.074
4,37,0.075
4,38,0.074
4,39,0.073
4,40,0.072
4,41,0.077
4,42,0.075
4,43,0.072
4,44,0.07
4,45,0.074
4,46,0.074
4,47,0.073
4,48,0.073
4,49,0.073
4,50,0.075
5,1,0.08
5,2,0.079
5,3,0.076
5,4,0.109
5,5,0.079
5,6,0.077
5,7,0.079
5,8,0.081
5,9,0.082
5,10,0.075
5,11,0.08
5,12,0.078
5,13,0.077
5,14,0.102
5,15,0.091
5,16,0.075
5,17,0.073
5,18,0.071
5,19,0.072
5,20,0.073
5,21,0.074
5,22,0.11
5,23,0.074
5,24,0.074
5,25,0.073
5,26,0.078
5,27,0.074
5,28,0.076
5,29,0.073
5,30,0.072
5,31,0.073
5,32,0.073
5,33,0.077
5,34,0.075
5,35,0.074
5,36,0.076
5,37,0.071
5,38,0.074
5,39,0.073
5,40,0.074
5,41,0.099
5,42,0.075
5,43,0.073
5,44,0.073
5,45,0.073
5,46,0.073
5,47,0.073
5,48,0.074
5,49,0.075
5,50,0.069
6,1,0.074
6,2,0.074
6,3,0.075
6,4,0.074
6,5,0.071
6,6,0.072
6,7,0.072
6,8,0.097
6,9,0.079
6,10,0.072
6,11,0.071
6,12,0.075
6,13,0.071
6,14,0.081
6,15,0.081
6,16,0.093
6,17,0.093
6,18,0.089
6,19,0.089
6,20,0.11
6,21,0.099
6,22,0.108
6,23,0.117
6,24,0.107
6,25,0.104
6,26,0.125
6,27,0.084
6,28,0.074
6,29,0.079
6,30,0.073
6,31,0.074
6,32,0.075
6,33,0.072
6,34,0.074
6,35,0.08
6,36,0.075
6,37,0.073
6,38,0.073
6,39,0.071
6,40,0.071
6,41,0.071
6,42,0.076
6,43,0.071
6,44,0.071
6,45,0.069
6,46,0.076
6,47,0.075
6,48,0.074
6,49,0.075
6,50,0.077
7,1,0.077
7,2,0.075
7,3,0.088
7,4,0.087
7,5,0.082
7,6,0.082
7,7,0.08
7,8,0.087
7,9,0.095
7,10,0.101
7,11,0.095
7,12,0.166
7,13,0.09
7,14,0.079
7,15,0.077
7,16,0.075
7,17,0.076
7,18,0.08
7,19,0.076
7,20,0.074
7,21,0.077
7,22,0.085
7,23,0.084
7,24,0.077
7,25,0.078
7,26,0.081
7,27,0.077
7,28,0.081
7,29,0.077
7,30,0.078
7,31,0.079
7,32,0.077
7,33,0.077
7,34,0.078
7,35,0.077
7,36,0.078
7,37,0.082
7,38,0.079
7,39,0.079
7,40,0.08
7,41,0.082
7,42,0.081
7,43,0.085
7,44,0.099
7,45,0.097
7,46,0.099
7,47,0.094
7,48,0.098
7,49,0.092
7,50,0.092
8,1,0.087
8,2,0.089
8,3,0.08
8,4,0.08
8,5,0.077
8,6,0.082
8,7,0.08
8,8,0.074
8,9,0.077
8,10,0.078
8,11,0.08
8,12,0.096
8,13,0.103
8,14,0.12
8,15,0.115
8,16,0.116
8,17,0.109
8,18,0.119
8,19,0.083
8,20,0.094
8,21,0.09
8,22,0.085
8,23,0.087
8,24,0.082
8,25,0.08
8,26,0.079
8,27,0.078
8,28,0.083
8,29,0.084
8,30,0.077
8,31,0.078
8,32,0.078
8,33,0.086
8,34,0.087
8,35,0.109
8,36,0.08
8,37,0.081
8,38,0.082
8,39,0.079
8,40,0.08
8,41,0.078
8,42,0.083
8,43,0.107
8,44,0.077
8,45,0.08
8,46,0.075
8,47,0.074
8,48,0.075
8,49,0.075
8,50,0.078
9,1,0.08
9,2,0.082
9,3,0.108
9,4,0.31
9,5,0.098
9,6,0.098
9,7,0.106
9,8,0.11
9,9,0.105
9,10,0.118
9,11,0.105
9,12,0.125
9,13,0.146
9,14,0.148
9,15,0.202
9,16,0.123
9,17,0.124
9,18,0.088
9,19,0.091
9,20,0.134
9,21,0.093
9,22,0.091
9,23,0.092
9,24,0.093
9,25,0.092
9,26,0.087
9,27,0.082
9,28,0.082
9,29,0.079
9,30,0.084
9,31,0.082
9,32,0.082
9,33,0.079
9,34,0.077
9,35,0.082
9,36,0.079
9,37,0.08
9,38,0.078
9,39,0.086
9,40,0.092
9,41,0.089
9,42,0.088
9,43,0.078
9,44,0.079
9,45,0.084
9,46,0.082
9,47,0.086
9,48,0.081
9,49,0.087
9,50,0.083
10,1,0.145
10,2,0.142
10,3,0.133
10,4,0.171
10,5,0.169
10,6,0.157
10,7,0.12
10,8,0.106
10,9,0.098
10,10,0.097
10,11,0.087
10,12,0.08
10,13,0.081
10,14,0.099
10,15,0.105
10,16,0.1
10,17,0.085
10,18,0.09
10,19,0.084
10,20,0.083
10,21,0.086
10,22,0.08
10,23,0.083
10,24,0.082
10,25,0.086
10,26,0.085
10,27,0.087
10,28,0.112
10,29,0.107
10,30,0.107
10,31,0.103
10,32,0.103
10,33,0.102
10,34,0.094
10,35,0.083
10,36,0.085
10,37,0.115
10,38,0.085
10,39,0.087
10,40,0.089
10,41,0.092
10,42,0.089
10,43,0.087
10,44,0.084
10,45,0.083
10,46,0.087
10,47,0.088
10,48,0.091
10,49,0.091
10,50,0.089
11,1,0.086
11,2,0.09
11,3,0.093
11,4,0.085
11,5,0.082
11,6,0.084
11,7,0.097
11,8,0.104
11,9,0.099
11,10,0.092
11,11,0.092
11,12,0.087
11,13,0.102
11,14,0.083
11,15,0.096
11,16,0.105
11,17,0.11
11,18,0.089
11,19,0.087
11,20,0.122
11,21,0.085
11,22,0.081
11,23,0.08
11,24,0.084
11,25,0.081
11,26,0.085
11,27,0.081
11,28,0.086
11,29,0.081
11,30,0.079
11,31,0.084
11,32,0.084
11,33,0.084
11,34,0.084
11,35,0.082
11,36,0.088
11,37,0.084
11,38,0.084
11,39,0.081
11,40,0.086
11,41,0.096
11,42,0.104
11,43,0.101
11,44,0.095
11,45,0.088
11,46,0.095
11,47,0.089
11,48,0.088
11,49,0.082
11,50,0.13
12,1,0.142
12,2,0.111
12,3,0.086
12,4,0.088
12,5,0.094
12,6,0.104
12,7,0.11
12,8,0.117
12,9,0.096
12,10,0.092
12,11,0.089
12,12,0.09
12,13,0.088
12,14,0.092
12,15,0.087
12,16,0.089
12,17,0.086
12,18,0.095
12,19,0.091
12,20,0.088
12,21,0.093
12,22,0.089
12,23,0.094
12,24,0.114
12,25,0.118
12,26,0.143
12,27,0.1
12,28,0.102
12,29,0.108
12,30,0.096
12,31,0.1
12,32,0.106
12,33,0.125
12,34,0.124
12,35,0.171
12,36,0.13
12,37,0.118
12,38,0.107
12,39,0.107
12,40,0.127
12,41,0.099
12,42,0.093
12,43,0.089
12,44,0.087
12,45,0.085
12,46,0.085
12,47,0.086
12,48,0.09
12,49,0.096
12,50,0.09
13,1,0.102
13,2,0.102
13,3,0.102
13,4,0.102
13,5,0.097
13,6,0.095
13,7,0.095
13,8,0.097
13,9,0.097
13,10,0.095
13,11,0.097
13,12,0.337
13,13,0.097
13,14,0.095
13,15,0.092
13,16,0.097
13,17,0.095
13,18,0.116
13,19,0.096
13,20,0.097
13,21,0.096
13,22,0.098
13,23,0.099
13,24,0.096
13,25,0.1
13,26,0.097
13,27,0.095
13,28,0.097
13,29,0.096
13,30,0.103
13,31,0.102
13,32,0.099
13,33,0.1
13,34,0.105
13,35,0.1
13,36,0.094
13,37,0.094
13,38,0.096
13,39,0.094
13,40,0.096
13,41,0.098
13,42,0.098
13,43,0.098
13,44,0.098
13,45,0.096
13,46,0.1
13,47,0.097
13,48,0.104
13,49,0.102
13,50,0.097
14,1,0.148
14,2,0.142
14,3,0.144
14,4,0.14
14,5,0.144
14,6,0.157
14,7,0.143
14,8,0.145
14,9,0.147
14,10,0.145
14,11,0.153
14,12,0.144
14,13,0.145
14,14,0.141
14,15,0.151
14,16,0.143
14,17,0.137
14,18,0.15
14,19,0.153
14,20,0.153
14,21,0.152
14,22,0.136
14,23,0.141
14,24,0.148
14,25,0.144
14,26,0.141
14,27,0.153
14,28,0.143
14,29,0.147
14,30,0.145
14,31,0.144
14,32,0.144
14,33,0.144
14,34,0.17
14,35,0.151
14,36,0.142
14,37,0.146
14,38,0.147
14,39,0.152
14,40,0.142
14,41,0.145
14,42,0.139
14,43,0.148
14,44,0.143
14,45,0.145
14,46,0.146
14,47,0.149
14,48,0.145
14,49,0.153
14,50,0.146
15,1,0.116
15,2,0.121
15,3,0.117
15,4,0.117
15,5,0.121
15,6,0.112
15,7,0.117
15,8,0.121
15,9,0.121
15,10,0.119
15,11,0.112
15,12,0.122
15,13,0.115
15,14,0.115
15,15,0.118
15,16,0.136
15,17,0.116
15,18,0.121
15,19,0.114
15,20,0.12
15,21,0.114
15,22,0.113
15,23,0.117
15,24,0.121
15,25,0.115
15,26,0.121
15,27,0.116
15,28,0.112
15,29,0.114
15,30,0.113
15,31,0.115
15,32,0.118
15,33,0.113
15,34,0.113
15,35,0.132
15,36,0.115
15,37,0.115
15,38,0.12
15,39,0.116
15,40,0.119
15,41,0.117
15,42,0.115
15,43,0.122
15,44,0.119
15,45,0.126
15,46,0.122
15,47,0.119
15,48,0.114
15,49,0.152
15,50,0.112
16,1,0.183
16,2,0.168
16,3,0.18
16,4,0.179
16,5,0.18
16,6,0.189
16,7,0.191
16,8,0.183
16,9,0.177
16,10,0.185
16,11,0.176
16,12,0.191
16,13,0.18
16,14,0.183
16,15,0.188
16,16,0.184
16,17,0.195
16,18,0.177
16,19,0.191
16,20,0.182
16,21,0.181
16,22,0.187
16,23,0.188
16,24,0.184
16,25,0.183
16,26,0.184
16,27,0.185
16,28,0.189
16,29,0.202
16,30,0.185
16,31,0.187
16,32,0.187
16,33,0.18
16,34,0.187
16,35,0.184
16,36,0.189
16,37,0.185
16,38,0.189
16,39,0.176
16,40,0.19
16,41,0.189
16,42,0.18
16,43,0.185
16,44,0.199
16,45,0.184
16,46,0.191
16,47,0.186
16,48,0.186
16,49,0.19
16,50,0.184
